track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
363,336,1,2022,4,1,1185,0,190981339,21,0,31,0,0.0,143,,Major,68,41,55,16,0,10,12
866,617,1,2015,1,11,11985,0,924193303,79,80,250,3,10.0,101,,Minor,76,63,71,3,0,10,3
401,228,1,2022,4,5,753,8,305771063,28,124,13,0,1.0,118,,Minor,70,54,71,0,0,33,4
580,180,3,2022,3,18,2995,0,273005485,49,17,30,0,0.0,98,,Minor,83,63,74,14,0,16,6
141,446,1,2022,4,6,225,0,89566512,11,0,7,0,0.0,138,,Minor,72,22,46,24,0,9,6
162,132,1,2015,1,1,9243,0,677389855,155,5,577,0,6.0,114,,Minor,59,30,62,1,0,8,4
928,86,2,2022,4,7,918,0,75476209,24,0,52,0,0.0,180,,Minor,63,45,64,34,0,9,8
47,601,1,2021,9,9,1959,9,408843328,52,25,32,0,10.0,145,,Major,56,41,57,1,0,13,3
854,382,3,2022,1,30,540,4,187772591,26,3,39,0,0.0,115,,Minor,78,63,64,1,0,7,4
701,128,3,2022,3,31,859,0,178512385,14,0,11,0,0.0,82,,Major,79,48,84,13,0,21,23
641,333,1,2022,4,8,1116,0,101780047,31,9,15,0,1.0,166,,Major,70,22,61,2,0,10,34
487,11,3,2022,3,30,273,2,118381354,12,2,4,0,0.0,92,,Major,86,91,79,29,0,60,16
794,93,1,2022,4,8,686,2,146363130,11,6,12,0,15.0,108,,Major,71,55,44,74,0,11,6
728,624,1,2022,3,25,226,0,126443991,5,0,4,0,1.0,84,,Minor,71,63,45,45,0,11,3
629,118,1,2022,3,25,1264,0,157990698,20,4,52,0,1.0,95,,Minor,69,90,91,6,0,35,4
930,354,4,2022,3,17,870,0,176290831,32,0,49,0,0.0,135,,Minor,93,77,45,25,0,13,27
265,223,1,2019,12,13,7556,0,1023187129,124,24,254,0,8.0,110,,Major,57,6,27,84,0,9,3
705,162,2,1996,11,24,1370,0,106933107,46,8,60,0,0.0,88,,Major,89,59,64,5,0,19,7
273,644,1,2022,3,30,315,2,139193812,27,2,31,0,0.0,119,,Minor,87,28,50,12,0,10,10
